Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A808211,"2139 SAN
JACINTO AUSTIN 78703",Yes (come to the shelter),11/05/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808211
A808093,812 AND HWY78612,Yes (come to the shelter),11/04/2019,Cat,Burmese Mix,Chocolate,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808093
A808186,"BAHAN DRIVE 78617
(30.157123, -97.611102)",Yes (come to the shelter),11/05/2019,Dog,English Bulldog,Brown/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808186
A807919,"6001 OLEANDAR TRAIL
AUSTIN 78735
(30.251613, -97.883148)",Yes (come to the shelter),11/01/2019,Dog,Chihuahua Shorthair,White,Spayed Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807919
A808185,"BAHAN DRIVE 78617
(30.157123, -97.611102)",Yes (come to the shelter),11/05/2019,Dog,English Bulldog,Brown/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808185
A808112,"SOUTH WEST FIRST STREET
AUSTIN 78745",Yes (come to the shelter),11/04/2019,Dog,Pit Bull/Labrador Retriever,White/Blue,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808112
A808213,"10015 LAKE CREEK PARKWAY
AUSTIN 78729
(30.467082, -97.787465)",Yes (come to the shelter),11/06/2019,Dog,Chihuahua Longhair,Tan,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808213
A736335,"12220 DWIGHT EISENHOWER STREET78653
(30.354341, -97.525606)",Yes (come to the shelter),11/02/2019,Dog,Pit Bull Mix,Tan/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A736335
A808147,"7707 SOUTH IH35
AUSTIN 78744
(30.179421, -97.777444)",Yes (come to the shelter),11/04/2019,Dog,American Staffordshire Terrier/Pit Bull,Brown Brindle/White,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808147
A808024,"12034 RESEARCH BLVD
AUSTIN 78759
(30.424971, -97.751545)",Yes (come to the shelter),11/03/2019,Cat,Domestic Medium Hair,Tortie,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808024
A808148,"4341 NUCKOLS CROSSING ROAD
AUSTIN 78744",No (contact for more info),11/04/2019,Dog,German Shepherd Mix,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808148
A807933,"7101 S MOPAC
AUSTIN 78749",Yes (come to the shelter),11/01/2019,Cat,Domestic Shorthair,Gray Tabby,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807933
A808181,"8913 CAPITOL DRIVE
AUSTIN 78753
(30.355716, -97.692523)",Yes (come to the shelter),11/05/2019,Cat,Domestic Shorthair,White,Intact Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808181
A808187,"1905 HEARTHSTONE DR
AUSTIN 78757
(30.366449, -97.721392)",Yes (come to the shelter),11/05/2019,Cat,Domestic Shorthair,Tortie,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808187
A808220,"6607 WAGON BEND
AUSTIN 78745",Yes (come to the shelter),11/06/2019,Dog,Pit Bull Mix,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808220
A808153,"15001 STRATHAVEN PASS
PFLUGERVILLE 78660
(30.434186, -97.652731)",No (contact for more info),11/04/2019,Dog,Chihuahua Shorthair,Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808153
A808221,"6607 WAGON BEND
AUSTIN 78745",Yes (come to the shelter),11/06/2019,Dog,Chinese Sharpei Mix,Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808221
A807850,"8054 EXCHANGE DRIVE
AUSTIN 78754
(30.331168, -97.665932)",No (contact for more info),10/31/2019,Cat,Domestic Medium Hair,Black/White,Unknown,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807850
A808152,"LONGSPUR
AUSTIN 78753",Yes (come to the shelter),11/04/2019,Dog,Dachshund Mix,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808152
A807958,"9704 CHUKAR CIRCLE
AUSTIN 78758
(30.374156, -97.709652)",Yes (come to the shelter),11/02/2019,Cat,Domestic Medium Hair,Orange Tabby/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807958
A808081,"CORONADO HILLS
AUSTIN 78752",No (contact for more info),11/03/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808081
A808149,"LONGSPUR
AUSTIN 78753",Yes (come to the shelter),11/04/2019,Dog,Dachshund Mix,Tan/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808149
A808192,30 AND HIGHWAY78617,Yes (come to the shelter),11/05/2019,Dog,Labrador Retriever Mix,Yellow,Spayed Female,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808192
A808004,"410 WEST ODELL
AUSTIN 78752
(30.337921, -97.712484)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808004
A807871,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807871
A807964,"S COLETO STREET
AUSTIN 78702",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Black Tabby/White,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807964
A808190,"2101 SPEEDWAY
AUSTIN 78712
(30.284255, -97.737348)",No (contact for more info),11/05/2019,Cat,Domestic Shorthair,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808190
A766109,"12801 CEDER STREET78653
(30.345622, -97.52449)",Yes (come to the shelter),10/31/2019,Dog,Australian Shepherd Mix,Sable/White,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A766109
A807865,"11602 VILLAGE WAY DRIVE
AUSTIN 78745",Yes (come to the shelter),10/31/2019,Cat,Domestic Shorthair,Orange Tabby,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807865
A808080,"11511 METRIC BOULEVARD
AUSTIN 78758
(30.394863, -97.706386)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Orange Tabby,Neutered Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808080
A807861,"SOUTH WILLIAM CANNON DRIVE
AUSTIN 78745",Yes (come to the shelter),10/31/2019,Dog,Pit Bull,White/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807861
A808071,"12034 RESEARCH BOULEVARD
AUSTIN 78759
(30.424971, -97.751545)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,White/Calico,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808071
A808191,"2101 SPEEDWAY
AUSTIN 78712
(30.284255, -97.737348)",No (contact for more info),11/05/2019,Cat,Domestic Shorthair,Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808191
A808188,"2206 BLUE MEADOW DRIVE
AUSTIN 78744
(30.181372, -97.763751)",Yes (come to the shelter),11/05/2019,Dog,Labrador Retriever Mix,Black/Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808188
A808189,"2206 BLUE MEADOW DRIVE
AUSTIN 78744
(30.181372, -97.763751)",Yes (come to the shelter),11/05/2019,Dog,Labrador Retriever Mix,Tan/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808189
A807868,"12203 COTTAGE PROMENADE COURT
AUSTIN 78753
(30.391998, -97.663557)",No (contact for more info),10/31/2019,Dog,Labrador Retriever,Brown/Black,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807868
A807875,"310 WEST TENTH STREET
AUSTIN 78701
(30.272635, -97.744464)",No (contact for more info),10/31/2019,Dog,Shih Tzu,Tan,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807875
A808075,"CURLEW DRIVE AUSTIN 78748
(30.166107, -97.825259)",No (contact for more info),11/03/2019,Dog,American Bulldog Mix,White/Blue,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808075
A807867,"901 EAST SAINT JOHNS AVENUE
AUSTIN 78752
(30.331803, -97.701877)",No (contact for more info),10/31/2019,Dog,Chihuahua Shorthair,Tan,Unknown,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807867
A807866,"5700 CEDARDALE DRIVE
AUSTIN 78745
(30.206042, -97.779786)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,Brown Tabby,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807866
A807998,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807998
A807939,"8601 BLUFF SPRINGS
AUSTIN 78744
(30.165111, -97.769439)",Yes (come to the shelter),11/01/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807939
A807957,"9704 CHUKAR CIRCLE
AUSTIN 78758
(30.374156, -97.709652)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807957
A808005,"4925 CRAIGSWOOD DRIVE
AUSTIN 78725
(30.284198, -97.659912)",Yes (come to the shelter),11/02/2019,Dog,Pit Bull,Black/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808005
A807909,"EAST BEN WHITE BOULEVARD
AUSTIN 78741",Yes (come to the shelter),10/31/2019,Dog,German Shepherd,Black/Tan,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807909
A807907,"2503 E CESAR
CHAVEZ AUSTIN 78702",Yes (come to the shelter),10/31/2019,Cat,Domestic Shorthair,Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807907
A807908,"2835 SAN GABRIEL ST
AUSTIN 78705
(30.296295, -97.746995)",Yes (come to the shelter),10/31/2019,Dog,Border Collie Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807908
A807999,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807999
A807927,"PTARMIGAN DRIVE
GROOSE AUSTIN 78758",Yes (come to the shelter),11/01/2019,Dog,Siberian Husky/Labrador Retriever,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807927
A808194,"1102 FLANNAGAN
AUSTIN 78704",Yes (come to the shelter),11/05/2019,Dog,Chihuahua Shorthair,Yellow,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808194
A807929,"7201 LEVANDER LOOP
AUSTIN 78702
(30.251079, -97.691727)",Yes (come to the shelter),11/01/2019,Dog,Alaskan Husky/German Shepherd,Tan/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807929
A808157,"1205 CITATION
AUSTIN 78617
(30.225625, -97.52091)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair Mix,Calico,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808157
A808108,"15500 SUN LIGHT NEAR WAY
PFLUGERVILLE 78660
(30.415705, -97.595303)",Yes (come to the shelter),11/04/2019,Dog,Border Collie Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808108
A807934,"EAST TWELTH STREET
AUSTIN 78721",No (contact for more info),11/01/2019,Dog,Boxer,Brown Brindle/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807934
A807883,"8500 PANADERO DR
AUSTIN 78744
(30.153937, -97.744737)",Yes (come to the shelter),10/31/2019,Dog,Great Pyrenees,White/White,Intact Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807883
A803080,"6010 EAST RIVERSIDE DRIVE
AUSTIN 78741
(30.226402, -97.706476)",Yes (come to the shelter),11/05/2019,Dog,Pit Bull,Black/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A803080
A808006,"4925 CRAIGSWOOD DRIVE
AUSTIN 78725
(30.284198, -97.659912)",Yes (come to the shelter),11/02/2019,Dog,Pit Bull,Tan/Black,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808006
A808000,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,White/Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808000
A808201,"515 VARGAS ROAD
AUSTIN 78741
(30.237389, -97.691189)",Yes (come to the shelter),11/05/2019,Cat,Domestic Shorthair,Orange Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808201
A807923,"8406 GARCREEK CIRCLE
AUSTIN 78724
(30.294419, -97.628815)",Yes (come to the shelter),11/01/2019,Dog,Miniature Schnauzer Mix,Black,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807923
A808199,"AUSTIN 78759
(30.40316, -97.753727)",Yes (come to the shelter),11/05/2019,Cat,Domestic Shorthair,Orange Tabby,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808199
A808156,"1205 CITATION
AUSTIN 78617
(30.225625, -97.52091)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair Mix,Calico,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808156
A807968,"11404 WALNUT RIDGE DRIVE
AUSTIN 78753
(30.376685, -97.667742)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,Calico,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807968
A808164,"1205 CITATION
AUSTIN 78617
(30.225625, -97.52091)",Yes (come to the shelter),11/04/2019,Cat,Domestic Shorthair Mix,Gray Tabby/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808164
A808094,"8117 WILLET TRL
A AUSTIN 78745
(30.196819, -97.828042)",Yes (come to the shelter),11/04/2019,Cat,Domestic Medium Hair,Blue,Spayed Female,15 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808094
A808165,"1205 CITATION
AUSTIN 78617
(30.225625, -97.52091)",Yes (come to the shelter),11/04/2019,Cat,Siamese Mix,Lilac Point/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808165
A777113,"WELLLINGTON DRIVE AUSTIN 78723
(30.30723, -97.686715)",No (contact for more info),11/04/2019,Dog,Chihuahua Shorthair Mix,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A777113
A807884,"10700 METRIC BLVD
AUSTIN 78758
(30.386568, -97.711644)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807884
A807940,"6907 DEBORAH DRIVE
AUSTIN 78752
(30.332552, -97.710036)",Yes (come to the shelter),11/01/2019,Dog,Bloodhound,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807940
A807887,"6407 SPRINGDALE ROAD
AUSTIN 78723
(30.306527, -97.669867)",Yes (come to the shelter),10/31/2019,Dog,Chihuahua Shorthair,Tan/Black,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807887
A808001,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808001
A807902,"4600 GUADALUPE STREET
AUSTIN 78751
(30.312818, -97.731684)",Yes (come to the shelter),10/31/2019,Cat,Domestic Shorthair,Blue,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807902
A808026,"1156 W CESAR CHAVEZ STREET
AUSTIN 78703
(30.268929, -97.760472)",Yes (come to the shelter),11/03/2019,Dog,Labrador Retriever,Red,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808026
A807872,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807872
A807873,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807873
A807874,"5800 TECHNI CENTER DR
AUSTIN 78721
(30.278441, -97.672073)",No (contact for more info),10/31/2019,Cat,Domestic Shorthair,White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807874
A807950,"DAVIS LANE
AUSTIN 78745",Yes (come to the shelter),11/01/2019,Dog,Pit Bull,Brown Brindle/White,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807950
A618334,"12820 NORTH LAMAR BOULEVARD
AUSTIN 78753
(30.413572, -97.677613)",Yes (come to the shelter),11/01/2019,Dog,Yorkshire Terrier Mix,Tan/Silver,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A618334
A808029,"10625 WEST PARMER LANE
AUSTIN 78717
(30.500131, -97.776614)",Yes (come to the shelter),11/03/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808029
A807965,"5415 APPLE ORCHARD LANE
AUSTIN 78744
(30.199377, -97.729547)",Yes (come to the shelter),11/02/2019,Dog,Maltese Mix,Tan/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807965
A807967,"11404 WALNUT RIDGE DRIVE
AUSTIN 78753
(30.376685, -97.667742)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,White/Black,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807967
A709018,"JONES ROAD
AUSTIN 78745",Yes (come to the shelter),10/31/2019,Dog,Pit Bull Mix,Black/White,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A709018
A807890,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Tan,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807890
A807891,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807891
A807892,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807892
A807900,"14400 DEWBERRY DRIVE
PFLUGERVILLE 78660
(30.41491, -97.631343)",Yes (come to the shelter),10/31/2019,Dog,Boxer Mix,Red/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807900
A807899,"1707 EAST SIXTH STREET
AUSTIN 78702
(30.26221, -97.724025)",Yes (come to the shelter),10/31/2019,Cat,Domestic Shorthair,Black,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807899
A807893,KILLINGSWORTH LANE78660,No (contact for more info),10/31/2019,Dog,German Shepherd/Labrador Retriever,Black/Tricolor,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807893
A808028,"7317 RHETT PL
AUSTIN 78744
(30.167477, -97.742604)",Yes (come to the shelter),11/03/2019,Dog,Anatolian Shepherd Mix,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808028
A807974,"6005 LEISURE RUN ROAD
AUSTIN 78745
(30.204586, -97.78505)",Yes (come to the shelter),11/02/2019,Cat,Domestic Medium Hair Mix,Blue/White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807974
A807996,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807996
A807997,"6107 IDLEWOOD COVE
AUSTIN 78745
(30.200347, -97.777948)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807997
A807987,"1601 EAST SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",No (contact for more info),11/02/2019,Cat,Domestic Shorthair,Brown Tabby,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807987
